classe_bilan_dpe,code_departement_insee,annee_construction_dpe,version,surface_habitable_logement,type_installation_chauffage,type_energie_chauffage,type_generateur_chauffage,type_generateur_chauffage_anciennete,nb_generateur_chauffage,nb_installation_chauffage,type_generateur_climatisation,type_generateur_climatisation_anciennete,type_installation_ecs,type_energie_ecs,type_generateur_ecs,type_generateur_ecs_anciennete,ecs_solaire,nb_generateur_ecs,nb_installation_ecs,plusieurs_facade_exposee,type_ventilation,type_production_energie_renouvelable,type_vitrage,type_materiaux_menuiserie,type_gaz_lame,type_fermeture,vitrage_vir,surface_vitree_nord,surface_vitree_sud,surface_vitree_ouest,surface_vitree_est,traversant,facteur_solaire_baie_vitree,presence_balcon,l_orientation_baie_vitree,type_isolation_mur_exterieur,materiaux_structure_mur_exterieur,epaisseur_structure_mur_exterieur,surface_mur_totale,surface_mur_exterieur,surface_mur_deperditif,local_non_chauffe_principal_mur,l_orientation_mur_exterieur,type_isolation_plancher_bas,type_plancher_bas_deperditif,surface_plancher_bas_totale,surface_plancher_bas_deperditif,local_non_chauffe_principal_plancher_bas,type_adjacence_principal_plancher_bas,type_isolation_plancher_haut,type_plancher_haut_deperditif,surface_plancher_haut_totale,surface_plancher_haut_deperditif,local_non_chauffe_principal_plancher_haut,type_adjacence_principal_plancher_haut,type_porte,surface_porte,classe_inertie
A,93.0,2008,2.1,18.7,unknown,unknown,unknown,unknown,1.1722145498008956,1.1475029881156602,unknown,unknown,unknown,unknown,unknown,unknown,0.007080917440607522,1.0952036657819406,1.0952021109032757,1.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,argon ou krypton,Volet roulant PVC ( e ≤ 12 mm),1.0,125.64,144.06,152.105,155.77,tout azimut,0.38,0.0,4.0,ITI,murs en béton banché,28.0,2328.675,2328.675,2328.675,unknown,4.0,ITE,dalle béton,1177.55,1177.55,unknown,sous-sol non chauffé,ITE,dalle béton,1267.0,1267.0,unknown,extérieur,unknown,7.928796003151214,Lourde
A,11.0,2016,2.1,72.4,individuel,electricite,generateurs a effet joule,unknown,1.0,1.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,1.0,Ventilation mécanique auto réglable « après 1982 »,solaire photovoltaïque,double vitrage,pvc,argon ou krypton,"Persienne coulissante ou volet battant PVC, volet battant bois (e > 22 mm)",1.0,11.52,15.25,45.85,48.77,tout azimut,0.39,1.0,4.0,ITI,murs en blocs de béton creux,20.0,575.05,451.61,575.05,circulation sans ouverture directe sur l'extérieur,1.0,ITI,dalle béton,812.8,256.8,unknown,local non déperditif ( local à usage d'habitation chauffé),ITI,dalle béton,278.0,278.0,unknown,extérieur,porte simple en bois porte opaque pleine,23.76,Lourde
A,31.0,1992,2.1,50.51,individuel,electricite,pac air/eau,neuf,6.0,6.0,unknown,unknown,individuel,electricite,ballon accumulation electrique,unknown,0.0,6.0,6.0,1.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,air sec,Volet roulant PVC ( e ≤ 12 mm),0.0,20.04097566956837,24.590677428633388,143.88,144.39,est ouest,0.44,0.0,2.0,ITI,murs en briques creuses,20.0,1600.25,1099.25,1600.25,circulation avec ouverture directe sur l'extérieur,4.0,ITE,dalle béton,2466.0,419.0,unknown,local non déperditif ( local à usage d'habitation chauffé),ITE,plafond en plaque de plâtre,2466.0,678.0,comble très faiblement ventilé,local non déperditif ( local à usage d'habitation chauffé),toute menuiserie porte opaque pleine isolée,74.1,Lourde
A,83.0,2010,2.1,53.0,individuel,electricite,pac air/air,récent(<15ans),1.0,1.0,pac air/air,récent(<15ans),collectif,solaire,ecs solaire,unknown,1.0,1.0,1.0,1.0,Ventilation mécanique double flux,solaire photovoltaïque,double vitrage,pvc,argon ou krypton,Volet roulant PVC ( e > 12 mm),1.0,116.43,173.36,26.09274928090764,23.617383507017973,nord sud,0.39,1.0,2.0,ITI,murs en béton banché,28.0,1493.13,1010.43,1493.13,circulation sans ouverture directe sur l'extérieur,1.0,ITE,dalle béton,490.0,490.0,unknown,sous-sol non chauffé,ITE,dalle béton,494.22,494.22,garage,garage,toute menuiserie porte opaque pleine isolée,69.3,Lourde
A,13.0,2021,2.1,47.0,individuel,electricite,generateurs a effet joule,unknown,1.0,1.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,1.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,argon ou krypton,Volet roulant PVC ( e ≤ 12 mm),0.0,20.04097566956837,24.590677428633388,26.09274928090764,4.77,non traversant,0.46,0.0,1.0,ITI,murs en béton banché,30.0,8.83,8.83,8.83,unknown,1.0,inconnu,unknown,45.0,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),ITI,unknown,45.0,151.9929136538324,unknown,local non déperditif ( local à usage d'habitation chauffé),toute menuiserie porte opaque pleine isolée,2.0,Légère
A,38.0,2021,2.0,73.15,individuel,electricite,pac air/eau,neuf,1.0,1.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,1.0,Ventilation mécanique auto réglable « après 1982 »,unknown,double vitrage,pvc,argon ou krypton,"Fermeture sans ajours en position déployée, volets roulants alu",1.0,20.04097566956837,24.590677428633388,2.9036,7.8405,est ouest,0.48,1.0,2.0,ITI,murs en blocs de béton creux,20.0,39.1617,39.1617,39.1617,unknown,2.0,unknown,unknown,122.06006214642329,155.00437590958984,unknown,unknown,isole,plafond en plaque de plâtre,73.15,73.15,comble fortement ventilé,comble fortement ventilé,toute menuiserie porte opaque pleine isolée,2.1462,Légère
A,35.0,0,2.1,180.0,individuel,electricite,pac air/eau,neuf,1.0,1.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,1.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,métal avec rupture de pont thermique,air sec,Volet roulant PVC ( e ≤ 12 mm),1.0,5.64,11.21,9.27,23.617383507017973,tout azimut,0.48,0.0,3.0,ITI,murs en blocs de béton creux,20.0,182.0,156.0,182.0,autres dépendances,4.0,ITI+ITE,unknown,110.0,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),ITI,plafond bois sur solives bois,174.0,174.0,comble fortement ventilé,extérieur,toute menuiserie porte opaque pleine isolée,3.07,Légère
A,13.0,0,2.1,47.0,individuel,electricite,pac air/air,neuf,2.0,2.0,pac air/air,neuf,collectif,solaire,ecs solaire,unknown,1.0,1.0,1.0,0.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,air sec,Volet roulant PVC ( e ≤ 12 mm),0.0,20.04097566956837,1.83,26.09274928090764,23.617383507017973,non traversant,0.46,0.0,1.0,ITI,murs en béton banché,20.0,69.89,19.77,42.01,circulation sans ouverture directe sur l'extérieur,1.0,ITE,dalle béton,47.0,47.0,garage,garage,non isole,unknown,47.0,151.9929136538324,unknown,local non déperditif ( local à usage d'habitation chauffé),porte simple en bois porte opaque pleine,1.69,Lourde
A,83.0,2015,2.1,145.19,individuel,electricite,pac air/air,neuf,2.0,2.0,pac air/air,neuf,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,1.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,métal avec rupture de pont thermique,argon ou krypton,"Fermeture sans ajours en position déployée, volets roulants alu",1.0,2.4,18.92,20.64,23.617383507017973,est ouest,0.48,1.0,3.0,ITI,murs en blocs de béton creux,20.0,145.1,145.1,145.1,unknown,4.0,ITE,unknown,64.0,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),ITE,"plafond lourd type entrevous terre-cuite, poutrelles béton",68.0,68.0,unknown,extérieur,toute menuiserie porte isolée avec double vitrage,1.94,Lourde
A,13.0,2017,2.1,60.7,collectif,electricite,pac air/eau,neuf,1.0,1.0,unknown,unknown,collectif,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,0.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,argon ou krypton,Volet roulant PVC ( e > 12 mm),1.0,20.04097566956837,24.590677428633388,8.52,23.617383507017973,non traversant,0.39,0.0,1.0,ITI,murs en béton banché,20.0,13.98,13.98,13.98,unknown,1.0,ITE,dalle béton,61.0,61.0,unknown,sous-sol non chauffé,unknown,unknown,113.84334171857029,151.9929136538324,unknown,unknown,unknown,7.928796003151214,Très Lourde
A,6.0,2016,2.1,60.9199981689453,individuel,electricite,pac air/air,neuf,1.0,1.0,pac air/air,neuf,collectif,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,0.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,métal avec rupture de pont thermique,argon ou krypton,"Fermeture sans ajours en position déployée, volets roulants alu",0.0,11.685,24.590677428633388,26.09274928090764,23.617383507017973,non traversant,0.51,0.0,1.0,ITI,murs en béton banché,22.5,33.72,18.315,18.315,circulation sans ouverture directe sur l'extérieur,1.0,non isole,unknown,60.92,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),ITE,dalle béton,60.92,60.92,unknown,extérieur,porte simple en bois porte opaque pleine,1.845,Légère
A,67.0,0,2.1,116.56,individuel,bois,poele ou insert bois,neuf,1.0,1.0,unknown,unknown,individuel,electricite,ballon accumulation electrique,unknown,0.0,1.0,1.0,1.0,Ventilation mécanique double flux,unknown,triple vitrage,bois/métal,air sec,"Jalousie accordéon, fermeture à lames orientables y compris les vénitiens extérieurs tout métal, volets battants ou persiennes avec ajours fixes",0.0,4.0,9.97,7.26,23.617383507017973,tout azimut,0.46,0.0,3.0,ITE+ITR,murs en ossature bois avec isolant en remplissage ≥ 2006,45.0,97.28,91.38,97.28,circulation avec ouverture directe sur l'extérieur,3.0,unknown,unknown,122.06006214642329,155.00437590958984,unknown,unknown,unknown,unknown,113.84334171857029,151.9929136538324,unknown,unknown,toute menuiserie porte opaque pleine isolée,1.9,Légère
A,83.0,2010,2.1,85.24,individuel,electricite,pac air/air,récent(<15ans),1.0,1.0,pac air/air,récent(<15ans),collectif,solaire,ecs solaire,unknown,1.0,1.0,1.0,1.0,Ventilation mécanique double flux,solaire photovoltaïque,double vitrage,pvc,argon ou krypton,Volet roulant PVC ( e > 12 mm),1.0,131.02,253.69,26.09274928090764,23.617383507017973,nord sud,0.39,1.0,2.0,ITI,murs en béton banché,28.0,1878.06,1276.26,1878.06,circulation sans ouverture directe sur l'extérieur,1.0,ITE,dalle béton,525.0,525.0,unknown,sous-sol non chauffé,ITE,dalle béton,533.5,533.5,garage,garage,toute menuiserie porte opaque pleine isolée,88.2,Lourde
A,11.0,2017,2.1,83.6,individuel,electricite,generateurs a effet joule,unknown,1.0,1.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,1.0,Ventilation mécanique à extraction hygroréglable,solaire photovoltaïque,double vitrage,pvc,air sec,"Persienne coulissante ou volet battant PVC, volet battant bois (e ≤ 22 mm)",1.0,2.32,12.39,26.09274928090764,1.84,tout azimut,0.39,0.0,3.0,ITI,murs en briques creuses,20.0,109.55,109.55,109.55,unknown,1.0,ITI,inconnu,78.7,39.35,unknown,terre-plein,ITE,plafond en plaque de plâtre,39.35,39.35,locaux non chauffés non accessible,locaux non chauffés non accessible,toute menuiserie porte opaque pleine isolée,2.09,Lourde
A,83.0,2010,2.1,63.31,individuel,electricite,pac air/air,récent(<15ans),1.0,1.0,pac air/air,récent(<15ans),collectif,solaire,ecs solaire,unknown,1.0,1.0,1.0,1.0,Ventilation mécanique double flux,solaire photovoltaïque,double vitrage,pvc,argon ou krypton,Volet roulant PVC ( e > 12 mm),1.0,116.43,173.36,26.09274928090764,23.617383507017973,nord sud,0.39,1.0,2.0,ITI,murs en béton banché,28.0,1493.13,1010.43,1493.13,circulation sans ouverture directe sur l'extérieur,1.0,ITE,dalle béton,490.0,490.0,unknown,sous-sol non chauffé,ITE,dalle béton,494.22,494.22,garage,garage,toute menuiserie porte opaque pleine isolée,69.3,Lourde
A,67.0,1948,2.1,268.51,individuel,electricite,pac air/eau,neuf,1.0,1.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),ancien,0.0,1.0,1.0,1.0,Ventilation mécanique auto réglable « après 1982 »,solaire photovoltaïque,double vitrage,métal avec rupture de pont thermique,argon ou krypton,Volet roulant PVC ( e ≤ 12 mm),0.0,19.78,30.0,5.22,4.93,nord sud,0.56,0.0,4.0,ITI,murs en briques creuses,28.0,221.6108,199.6028,221.6108,circulation avec ouverture directe sur l'extérieur,1.0,unknown,unknown,122.06006214642329,155.00437590958984,unknown,unknown,ITI,dalle béton,140.0,140.0,unknown,extérieur,toute menuiserie porte opaque pleine isolée,1.8,Lourde
A,83.0,2009,2.1,34.0,individuel,electricite,pac air/air,récent(<15ans),1.0,1.0,pac air/air,récent(<15ans),individuel,electricite,ecs thermodynamique electrique(pac ou ballon),récent(<15ans),0.0,1.0,1.0,0.0,Ventilation mécanique à extraction hygroréglable,solaire photovoltaïque,double vitrage,bois,air sec,Volet roulant PVC ( e ≤ 12 mm),1.0,9.68,24.590677428633388,26.09274928090764,23.617383507017973,non traversant,0.43,1.0,1.0,ITI,murs en béton banché,20.0,5.92,5.92,5.92,unknown,1.0,unknown,unknown,122.06006214642329,155.00437590958984,unknown,unknown,unknown,unknown,113.84334171857029,151.9929136538324,unknown,unknown,unknown,7.928796003151214,Très Lourde
A,31.0,1994,2.1,66.74,individuel,electricite,pac air/eau,neuf,4.0,4.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,4.0,4.0,1.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,air sec,Volet roulant PVC ( e ≤ 12 mm),0.0,35.55,40.05,134.9436,124.9236,tout azimut,0.46,0.0,4.0,ITI,murs en briques creuses,20.0,1089.91,755.31,1089.91,circulation avec ouverture directe sur l'extérieur,4.0,non isole,dalle béton,2734.0,727.0,unknown,local non déperditif ( local à usage d'habitation chauffé),ITE,plafond en plaque de plâtre,2734.0,744.0,comble faiblement ventilé,local non déperditif ( local à usage d'habitation chauffé),toute menuiserie porte opaque pleine isolée,77.9,Lourde
A,73.0,1948,2.0,52.0,collectif,reseau de chaleur,reseau de chaleur,unknown,1.0,1.0,unknown,unknown,collectif,reseau de chaleur,reseau de chaleur,unknown,0.0,1.0,1.0,0.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,air sec,Volet roulant PVC ( e ≤ 12 mm),0.0,20.04097566956837,7.11,26.09274928090764,23.617383507017973,non traversant,0.44,0.0,1.0,ITE,murs en béton banché,20.0,67.97,13.89,13.89,circulation sans ouverture directe sur l'extérieur,1.0,non isole,unknown,25.0,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),non isole,unknown,25.0,151.9929136538324,unknown,local non déperditif ( local à usage d'habitation chauffé),autre type de porte,1.9,Lourde
A,13.0,0,2.1,102.33,individuel,electricite,generateurs a effet joule,unknown,1.0,1.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),récent(<15ans),0.0,1.0,1.0,0.0,Extracteur mécanique sur conduit non modifié de ventilation naturelle existante,unknown,double vitrage,pvc,air sec,Volet roulant PVC ( e ≤ 12 mm),0.0,20.04097566956837,24.590677428633388,26.09274928090764,8.53,non traversant,0.46,0.0,1.0,non isole,murs en béton banché,30.0,18.57,3.97,18.57,circulation sans ouverture directe sur l'extérieur,1.0,non isole,unknown,102.33,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),inconnu,plafond avec ou sans remplissage,66.01,66.01,comble faiblement ventilé,comble faiblement ventilé,porte simple en bois porte opaque pleine,1.9,Lourde
A,83.0,0,2.1,93.47,individuel,electricite,pac air/eau,neuf,1.0,1.0,pac air/eau,neuf,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,1.0,Ventilation par ouverture des fenêtres,unknown,double vitrage,métal avec rupture de pont thermique,argon ou krypton,abscence de fermeture pour la baie vitrée,1.0,20.04097566956837,19.57,1.05,7.94,90°,0.45,0.0,3.0,ITI,murs en pierre de taille et moellons avec remplissage tout venant,60.0,101.2,64.2,64.2,unknown,3.0,inconnu,dalle béton,93.47,93.47,unknown,terre-plein,ITI,unknown,93.47,151.9929136538324,unknown,local non déperditif ( local à usage d'habitation chauffé),unknown,7.928796003151214,Légère
A,3.0,1978,2.0,32.58,collectif,reseau de chaleur,reseau de chaleur,unknown,1.0,1.0,unknown,unknown,collectif,reseau de chaleur,reseau de chaleur,unknown,0.0,1.0,1.0,0.0,Ventilation mécanique double flux,unknown,double vitrage,pvc,argon ou krypton,Volet roulant PVC ( e > 12 mm),1.0,20.04097566956837,24.590677428633388,26.09274928090764,6.0,non traversant,0.39,0.0,1.0,ITI+ITE,murs en béton banché,20.0,50.1468,7.8,7.8,unknown,1.0,ITE,unknown,32.58,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),non isole,unknown,32.58,151.9929136538324,unknown,local non déperditif ( local à usage d'habitation chauffé),porte simple en métal porte avec 30-60% de double vitrage,1.6932,Lourde
A,83.0,2013,2.1,59.56,individuel,electricite,pac air/air,neuf,3.0,3.0,pac air/air,neuf,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,1.0,Ventilation mécanique auto réglable « après 1982 »,unknown,double vitrage,métal avec rupture de pont thermique,argon ou krypton,Volet roulant PVC ( e ≤ 12 mm),0.0,6.33,2.52,0.97,23.617383507017973,nord sud,0.56,0.0,3.0,ITI,murs en béton banché,20.0,86.42,44.98,44.98,circulation sans ouverture directe sur l'extérieur,4.0,inconnu,unknown,59.56,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),inconnu,unknown,59.56,151.9929136538324,unknown,local non déperditif ( local à usage d'habitation chauffé),porte simple en pvc porte avec moins de 30% de vitrage simple,1.89,Légère
A,73.0,1948,2.0,52.0,collectif,reseau de chaleur,reseau de chaleur,unknown,1.0,1.0,unknown,unknown,collectif,reseau de chaleur,reseau de chaleur,unknown,0.0,1.0,1.0,0.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,air sec,Volet roulant PVC ( e ≤ 12 mm),0.0,20.04097566956837,7.11,26.09274928090764,23.617383507017973,non traversant,0.44,0.0,1.0,ITE,murs en béton banché,20.0,67.97,13.89,13.89,circulation sans ouverture directe sur l'extérieur,1.0,non isole,unknown,25.0,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),non isole,unknown,25.0,151.9929136538324,unknown,local non déperditif ( local à usage d'habitation chauffé),porte simple en bois porte avec double vitrage,1.9,Lourde
